dispnum,incidnum,year,month,day,mid21location,midlocmeasuringpoint,latitude,longitude,precision,onset,war,war_name
1713,1713001,1966,7,22,Beijing China,"Beijing, China",39.92889,116.3883,1,1,0,
1715,1715001,1967,5,18,Sikkim,"Sikkim, India",27.75,88.5,3,1,0,
1717,1717001,1969,6,26,Gibraltar,"Gibraltar, UK",36.13334,-5.35,3,1,0,
1718,1718001,1971,8,2,.,md pt of usr-rom border,48.25,26.63,4,1,0,
1720,1720001,1976,2,-9,alb-yug Border,mid pt of border,41.9125,20.63167,4,1,0,
1728,1728001,1975,11,23,Spratly Island,Spratly Island,8.633333,111.9167,3,1,0,
1742,1742001,1959,1,14,Cuba,Havana,23.13194,-82.36417,5,1,0,
1745,1745001,1956,2,14,Northwest Nepal,Simikot,29.96667,81.83334,3,1,0,
1746,1746001,1960,9,28,"Saidia, Morocco","Saidia, Morocco",35.13334,-2.416667,1,1,0,
1792,1792001,1946,4,-9,thai-viet border,gulf of thailand,9.955556,104.5528,4,1,0,
1793,1793001,1948,5,14,.,israel,31.585,35.227,5,1,1,Palestine War
1796,1796001,1959,2,9,Algerian-Tunisian border,"Bou Aroua, Algeria",36.58333,2.3,4,1,0,
1797,1797001,1960,6,28,Mistarig region NW Nepal,"Simikot, Nepal",29.76611,81.81944,3,1,0,
1799,1799001,1961,1,-9,Sea of Japan,Sea of Japan,43.5,135.75,5,1,0,
1801,1801001,1961,5,2,Coastal waters of the Dom Republic,Santo Domingo,18.46667,-69.9,4,1,0,
1803,1803001,1963,5,28,Ecuadorian coastal waters,"Manta, Ecuador",-0.95,-80.73333,4,1,0,
1804,1804001,1965,11,11,.,zim-zam border,-17.006,27.794,4,1,0,
1805,1805001,1967,1,9,Coastal waters of Ecuadore,Bahia de Manta,-0.9333333,-80.7,4,1,0,
1806,1806001,1968,1,18,.,VIE-CAM,11.96,106.7,4,1,0,
1807,1807001,1968,10,10,off Ghanan coast,"Accra, Ghana",5.55,-0.2166667,4,1,0,
1808,1808001,1973,1,26,.,arg-uru border,-32.19,-57.92,4,1,0,
1809,1809001,1975,6,26,Kenya,Nairobi,-1.283333,36.81667,5,1,0,
1900,1900001,1961,3,31,North Sea Faeroe Islands,Faroe Islands,62,-7,3,1,0,
2000,2000001,1953,5,11,West Irian,"Irian Jaya, Indonesia",-5,138,3,1,0,
2001,2001001,1953,9,20,Shan State of Kentung,"Kentung, Burma",21.28333,99.6,3,1,0,
2002,2002001,1960,5,27,Manchuria,"Harbin, China",45.75,126.65,3,1,0,
2006,2006001,1949,10,2,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
2007,2007001,1949,10,18,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
2008,2008001,1950,6,5,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
2009,2009001,1950,8,17,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
2010,2010001,1950,11,23,Northern Vietnam,Thai Nguyen,21.59278,105.8442,3,1,0,
2015,2015001,1966,6,12,Mekong river,"Mekong river, Vietnam",10.25,105.9167,4,1,0,
2016,2016001,1969,5,5,Mekong river,"Mekong river, Vietnam",10.25,105.9167,4,1,0,
2017,2017001,1970,2,25,Mekong river,"Mekong river, Vietnam",10.25,105.9167,4,1,0,
2018,2018001,1953,10,16,thai-burm border,mid pt of border,16.21139,98.675,4,1,0,
2019,2019001,1957,2,11,West Irian,"Irian Jaya, Indonesia",-5,138,3,1,0,
2020,2020001,1948,7,21,Nahi Village,"Nahi, Iran",29.96667,48.55,1,1,0,
2021,2021001,1949,12,14,Yunnan Province,"Yunnan, China",25,102,3,1,0,
2022,2022001,1952,2,15,thai-viet border,gulf of thailand,9.955556,104.5528,4,1,0,
2023,2023001,1954,3,28,Tak Province,"Tak, Thailand",16.86667,99.13333,3,1,0,
2024,2024001,1955,3,3,Tak Province,"Tak, Thailand",16.86667,99.13333,3,1,0,
2025,2025001,1957,9,20,burm-ind border,mid pt of border,24.73139,94.65861,4,1,0,
2027,2027001,1961,11,26,Coast of Luzon Islands,"Luzon, Philippines",16,121,4,1,0,
2028,2028001,1960,8,25,Mekong River,"Mekong river, Vietnam",10.25,105.9167,4,1,0,
2029,2029001,1960,12,27,viet-laos border,mid pt of border,18.23889,105.3097,4,1,0,
2030,2030001,1960,9,22,"Vientiane,Laos","Viangchan, Laos",17.96667,102.6,5,1,0,
2031,2031001,1964,2,16,Mekong River,"Mekong river, Vietnam",10.25,105.9167,4,1,0,
2032,2032001,1955,5,11,Korea,Seoul,37.56639,126.9997,5,1,0,
2033,2033001,1954,7,23,South China Sea,South China Sea,15,115,5,1,0,
2034,2034001,1954,7,23,South China sea,South China sea,15,115,5,1,0,
2035,2035001,1953,8,1,Korea,Seoul,37.56639,126.9997,5,1,0,
2036,2036001,1953,6,24,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
2037,2037001,1955,1,19,Taiwan Straits,Taiwan Straits,24,119,5,1,0,
2038,2038001,1958,8,27,Hong Kong - Guangdong Province,Hong Kong,22.25,114.1833,1,1,0,
2041,2041001,1949,2,16,Dominican-Haitian border,"Banica, DR",19.08333,-71.7,4,1,0,
2042,2042001,1957,5,3,Costa Rican-Nicaraguan border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1,0,
2049,2049001,1957,6,12,.,taiwan straits,24.61,119.9,5,1,0,
2052,2052001,1951,2,16,.,taiwan straits,24.61,119.9,5,1,0,
2053,2053001,1979,3,26,.,pt closest between pak and usr within afg,36.859,72.558,3,1,0,
2054,2054001,1983,9,18,.,pt closest between pak and usr within afg,36.859,72.558,3,1,0,
2059,2059001,1971,7,4,Yugoslavia near Bulgarian border,"Pirot, Yugoslavia",43.15917,22.58889,4,1,0,
2066,2066001,1965,6,12,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2067,2067001,1966,3,31,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2068,2068001,1973,4,-9,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2069,2069001,1977,2,22,.,md pt on som-eth border,7.896,48.097,4,1,1,Ethiopian-Somalian Ogaden War
2070,2070001,1978,4,14,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2071,2071001,1980,2,24,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2072,2072001,1982,6,30,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2073,2073001,1984,1,30,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2074,2074001,1984,12,20,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2075,2075001,1985,9,17,Ogaden,"Ogaden, Ethiopia",8,44,2,1,0,
2079,2079001,1958,11,3,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1,0,
2080,2080001,1964,7,25,Alto Palena,"Alto Palena, Chile",-43.61666,-71.8,1,1,0,
2081,2081001,1977,7,14,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
2082,2082001,1978,8,18,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
2083,2083001,1980,9,7,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
2084,2084001,1981,4,25,Mendoza Province,"Mendoza Province, Argentina",-34.5,-68.5,3,1,0,
2085,2085001,1981,9,21,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-58.16667,4,1,0,
2086,2086001,1983,8,18,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
2087,2087001,1984,10,19,Beagle Channel,"Beagle Channel, Argentina",-54.88334,-68.16666,4,1,0,
2088,2088001,1950,11,16,"Nilang, Tibet-Indian Border","Nilanga, India",18.1,76.76667,1,1,0,
2089,2089001,1954,6,29,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1,0,
2090,2090001,1955,6,25,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1,0,
2091,2091001,1956,5,2,"Nilang, Tsang Chokla Pass","Nilanga, India",18.1,76.76667,1,1,0,
2092,2092001,1956,6,7,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1,0,
2093,2093001,1958,8,2,Niti Pass,"Niti Pass, India",30.96667,79.88333,1,1,0,
2094,2094001,1962,12,1,Numerous places on ind-chn border,mid pt of border,32.60028,79.50723,4,1,0,
2095,2095001,1964,4,7,Border near Sikkim/Bhutan,"Gangtok, India",27.33333,88.61667,3,1,0,
2096,2096001,1965,4,25,Ladakh,"Ladakh, India",34.5,77.5,3,1,0,
2097,2097001,1967,7,17,"Beijing, China","Beijing, China",39.92889,116.3883,1,1,0,
2098,2098001,1969,3,23,Sikkim,"Sikkim, India",27.75,88.5,3,1,0,
2099,2099001,1971,12,10,Sikkim,"Sikkim, India",27.75,88.5,3,1,0,
2100,2100001,1973,4,12,Sikkim,"Sikkim, India",27.75,88.5,3,1,0,
2101,2101001,1979,2,27,"NEFA, Twang tract and Sikkim","Sikkim, India",27.75,88.5,3,1,0,
2102,2102001,1985,12,-9,"NEFA, Twang Tract","tawang, india",27.67306,92.16472,3,1,0,
2104,2104001,1953,2,10,Khormanshah (irn-irq),gulf of khormanshah,29.82389,48.42861,3,1,0,
2105,2105001,1961,2,10,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1,0,
2106,2106001,1965,12,18,Kordestan,"Kordestan, Iran",37,44,3,1,0,
2107,2107001,1966,5,23,Kordestan,"Kordestan, Iran",35.5,47,3,1,0,
2108,2108001,1969,9,14,Kordestan,"Kordestan, Iran",37,44,3,1,0,
2109,2109001,1970,1,20,Baghdad,"Baghdad, Iraq",33.33861,44.39389,1,1,0,
2110,2110001,1971,4,14,Khanaqin region,"Khanaqin, Iraq",34.5,45.35,3,1,0,
2111,2111001,1973,1,2,Kordestan,"Kordestan, Iran",37,44,3,1,0,
2112,2112001,1974,1,24,Badrah,"Badrah, Iraq",33.12056,45.9575,1,1,0,
2113,2113001,1979,2,27,"Sar Dasht, Qasr-e-Shirin","Sar Dasht, Iran",31.4,49.88334,1,1,0,
2114,2114001,1979,10,24,"Khuzistan, Shatt-al-arab",Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1,0,
2115,2115001,1980,8,27,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.94972,48.57306,3,1,1,Iran-Iraq War
2118,2118001,1984,1,15,"Rio Corrientes, Zamora-Santiago zone",cordillera del condor (EC-PER),-3.51,-78.3175,4,1,0,
2119,2119001,1981,1,23,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1,0,
2120,2120001,1977,6,21,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1,0,
2121,2121001,1953,2,27,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1,0,
2122,2122001,1950,10,21,Zamora-Santiago zone,cordillera del condor (EC-PER),-3.51,-78.3175,3,1,0,
2136,2136001,1974,11,7,Kagera Salient,"Kagera River, Tanzania",-0.95,31.78333,4,1,0,
2137,2137001,1975,3,-9,"Umm Hagar, Sudan","Umm Hagar, Eritrea",14.325,36.65528,1,1,0,
2138,2138001,1972,9,20,Libya-Sudan border,"Jabal Kissu, Sudan",21.58333,25.15,4,1,0,
2139,2139001,1977,4,17,Border with Belize,"Caracol, Belize",16.7575,-89.12473,4,1,0,
2140,2140001,1977,2,24,Kagera Salient,"Kagera River, Tanzania",-0.95,31.78333,4,1,0,
2141,2141001,1978,10,9,.,md pt TAZ-UGA border,-1.121,32.144,4,1,1,Ugandan Tanzanian War
2142,2142001,1977,1,1,.,eth-sud border,10.62,34.51,4,1,0,
2143,2143001,1977,1,8,Tacna and Arica,"Tacna, Peru",-18.00556,-70.24834,1,1,0,
2144,2144001,1977,2,4,.,coast of ken-taz border,-4.85,39.46,2,1,0,
2148,2148001,1977,4,26,Zaire-Angola border,"Chitato, Angola",-7.3,20.85,4,1,0,
2149,2149001,1977,5,-9,laos-camb border,mid pt on border,14.40694,106.3131,4,1,0,
2150,2150001,1977,3,8,.,zai-ang border (north),-5.135,12.772,4,1,0,
2152,2152001,1980,2,3,Yemen-S.Arabia border,"Najran, Saudi Arabia",17.46667,44.1,4,1,0,
2153,2153001,1964,9,1,Yemen,Al Mukalla,14.53,49.13139,5,1,0,
2155,2155001,1966,12,31,Border of Saudi Arabia & Yemen,"Zamakh, Yemen",16.45,47.6,4,1,0,
2157,2157001,1963,1,29,Behan,"Behan, Iran",35.78333,52.4,1,1,0,
2163,2163001,1983,2,19,"Larnaca, Cyprus",Larnaca,34.91667,33.62917,1,1,0,
2171,2171001,1965,3,16,Cyprus,Nicosia,35.16667,33.36666,5,1,0,
2172,2172001,1965,11,6,Cyprus,Nicosia,35.16667,33.36666,5,1,0,
2173,2173001,1974,9,13,Aegean see,Aegean Sea,39,25,3,1,0,
2174,2174001,1978,11,1,Aegean sea,Aegean Sea,39,25,5,1,0,
2175,2175001,1981,3,21,Aegean Sea,Aegean Sea,39,25,5,1,0,
2176,2176001,1982,12,1,.,cyprus,35.06,33.41,5,1,0,
2177,2177001,1984,10,17,"Aegean Sea, Cyprus","Nicosia, Cyprus",35.16667,33.36666,5,1,0,
2178,2178001,1986,7,2,Cyprus,"Nicosia, Cyprus",35.16667,33.36666,5,1,0,
2179,2179001,1986,6,27,Aegean Sea,Aegean Sea,39,25,5,1,0,
2180,2180001,1951,5,8,Pakistan-Afghanistan border,"Peshawar, pakistan",34.00195,71.55945,4,1,0,
2181,2181001,1956,5,19,Pakistan-Afghanistan,"Jalalabad, Afghanistan",36.76667,65.86667,4,1,0,
2186,2186001,1949,5,5,Ongjin Peninsula,"Ongjin-bando, N.Korea",37.92556,125.1078,3,1,0,
2187,2187001,1958,3,7,.,PRK-KOR border,38.27,127.3,4,1,0,
2188,2188001,1962,6,2,.,PRK-KOR border,38.27,127.3,4,1,0,
2189,2189001,1963,5,17,.,PRK-KOR border,38.27,127.3,4,1,0,
2190,2190001,1970,3,14,Korea:DMZ,"Ch'orwon, S.Korea",38.20917,127.2175,4,1,0,
2191,2191001,1974,2,15,Yellow Sea,Yellow Sea,36,124,5,1,0,
2192,2192001,1977,4,28,.,PRK-KOR border,38.27,127.3,4,1,0,
2193,2193001,1979,3,1,.,PRK-KOR border,38.27,127.3,4,1,0,
2194,2194001,1981,7,7,Korea:DMZ,mid pt of border,38.35611,127.4631,4,1,0,
2195,2195001,1983,2,1,.,PRK-KOR border,38.27,127.3,4,1,0,
2196,2196001,1984,11,13,.,PRK-KOR border,38.27,127.3,4,1,0,
2198,2198001,1986,8,11,Korea:DMZ,mid pt of border,38.35611,127.4631,4,1,0,
2215,2215001,1958,6,27,Armenia,Yerevan,40.18333,44.5,5,1,0,
2216,2216001,1958,11,7,Baltic Sea,Baltic Sea,56,18,5,1,0,
2217,2217001,1961,7,25,Cuba,Havana,23.13194,-82.36417,5,1,0,
2218,2218001,1963,4,2,.,berlin,52.52,13.38,5,1,0,
2219,2219001,1961,11,19,.,berlin,52.52,13.38,1,1,0,
2220,2220001,1964,1,28,East Germany,Berlin,52.51667,13.48333,5,1,0,
2221,2221001,1970,10,21,Armenia,Yerevan,40.18333,44.5,5,1,0,
2222,2222001,1977,4,9,"US coastal waters, Atlantic Ocean",Gulf of Maine,43,-68.5,4,1,0,
2223,2223001,1978,11,19,Iran,Tehran,35.67194,51.42445,5,1,0,
2224,2224001,1979,8,9,Pacific Ocean,mid pt of ocean,1.840833,-157.7667,5,1,0,
2225,2225001,1979,8,31,.,waters off of cuba,22.74,-75.58,4,1,0,
2226,2226001,1980,3,13,.,.,-9999,-9999,7,1,0,
2227,2227001,1980,5,4,Yugoslavia,Belgrade,44.81194,20.46556,5,1,0,
2228,2228001,1981,5,12,New York,"New York, USA",41.00167,-73.85306,1,1,0,
2229,2229001,1982,6,23,.,northern tip of JAP,45.31,142.01,3,1,0,
2230,2230001,1984,9,12,Bering Sea,Bering Sea,60,-175,5,1,0,
2231,2231001,1983,11,24,.,berlin,52.52,13.38,5,1,0,
2232,2232001,1985,3,24,.,berlin,52.52,13.38,5,1,0,
2233,2233001,1986,3,13,Black Sea,Black Sea,43,35,5,1,0,
2237,2237001,1981,7,24,.,guy-ven border,6.858,-60.16,4,1,0,
2239,2239001,1969,1,18,Venezuelan-Guyana border,"Bochinche, Venezuela",7.566667,-60.73333,4,1,0,
2240,2240001,1970,2,19,Ankoko island,"Ankoko Island, Venezuela",6.716667,-61.13334,3,1,0,
2244,2244001,1954,1,13,.,PRK-KOR border,38.27,127.3,4,1,0,
2245,2245001,1987,2,12,.,md pt on som-eth border,7.896,48.097,4,1,0,
2315,2315001,1986,10,26,Yellow Sea,Yellow Sea,36,124,5,1,0,
2317,2317001,1976,4,-9,Essequibo area,"Essequibo River, Guyana",7.033333,-58.45,3,1,0,
2318,2318001,1976,4,-9,Courantyne River area,"Courantyne River, Guyana",5.7544,-57.1642,4,1,0,
2319,2319001,1972,1,27,Belize's Carribean Sea,Glover Reef,16.8,-87.78333,4,1,0,
2323,2323001,1982,7,13,"Guajira Peninsula, Colombia","Guajira Peninsula,",12,-71.5,3,1,0,
2325,2325001,1979,11,-9,Nicaraguan-Honduran border,"Plis, Nicaragua",14.15,-85.43333,4,1,0,
2326,2326001,1977,9,-9,Courantyne River,"Courantyne River, Guyana",5.95,-57.1,4,1,0,
2327,2327001,1976,8,10,"Tyre, Lebanon","Tyre, Lebanon",33.27111,35.19639,1,1,0,
2328,2328001,1949,3,-9,Yugoslavia-Albania border,"Krume, Albania",42.19695,20.41333,4,1,0,
2331,2331001,1958,7,17,.,"Basra, Iraq",30.49,47.82,2,1,0,
2332,2332001,1958,7,15,Iraq-Turkey border,"Cukurca, Turkey",41.06667,32.68333,4,1,0,
2335,2335001,1976,8,31,Gulf of Suez,"Suez, Egypt",28.16667,33.45,3,1,0,
2339,2339001,1948,12,11,Costa Rica border territory,mid pt of border,10.935,-84.68389,4,1,0,
2340,2340001,1948,4,19,Nicaragua-Costa Rica Border,mid pt of border,10.935,-84.68389,4,1,0,
2344,2344001,1962,8,14,Nicaragua-Honduras border,"Jalapa, Nicaragua",13.91667,-86.13333,4,1,0,
2346,2346001,1978,9,12,Nicaragua-Costa Rica border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1,0,
2347,2347001,1981,4,30,.,NIC-HON border,14.01,-85.372,4,1,0,
2348,2348001,1982,8,2,Guatemalan-Mexican border,"Santa Amelia, Guatemala",17.56556,-90.59111,4,1,0,
2349,2349001,1983,9,28,Nicaragua-Costa Rican border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1,0,
2350,2350001,1984,4,30,Guatemalan-Mexican border,"Chajul, Mexico",16.11667,-90.91666,4,1,0,
2352,2352001,1985,7,10,Honduras-El Salvador border,"La Virtud, Honduras",14.05,-88.7,4,1,0,
2353,2353001,1986,1,7,.,NIC-HON border,14.01,-85.372,4,1,0,
2354,2354001,1986,1,31,Dom. Rep-Haiti border,"Comendador, DR",18.8775,-71.70277,4,1,0,
2356,2356001,1986,6,5,Los Monjes Islands,"Los Monjes, Venezuela",12.41667,-70.91666,3,1,0,
2357,2357001,1978,7,2,Border region between N and S Yemen,"Minwakh, Yemen",16.80778,48.10917,4,1,0,
2360,2360001,1965,4,6,.,YEM-SAU border,17.23,47.46,4,1,0,
2362,2362001,1967,5,12,Najran and Qizam S.Arabia,"Najran, Saudi Arabia",17.5,44.16667,1,1,0,
2371,2371001,1946,3,1,Albania-Greece border,"Leskovik, Albania",40.14917,20.5975,4,1,0,
2372,2372001,1952,7,23,Yugoslav-Albanian border,"Krume, Albania",42.19695,20.41333,4,1,0,
2373,2373001,1969,11,5,Najran S.Arabia,"Najran, Saudi Arabia",18,45.66667,1,1,0,
2374,2374001,1975,2,8,Centa and Melilla,"Melilla, Spain",-34.78333,-56.25,1,1,0,
2540,2540001,1985,8,20,Gulf of Sidra on Libyan/Tun border,"Gulf of Sidra, Libya",31.5,18,3,1,0,
2541,2541001,1984,3,7,Bay of Biscay,Bay of Biscay,44,-4,3,1,0,
2542,2542001,1984,10,20,Irish sea,Irish Sea,53.66667,-5,5,1,0,
2543,2543001,1985,7,24,Irish sea,Irish Sea,53.66667,-5,5,1,0,
2544,2544001,1985,7,19,Persian Gulf,Persian Gulf,27,51,5,1,0,
2545,2545001,1985,7,10,Persian Gulf,Persian Gulf,27,51,5,1,0,
2546,2546001,1985,5,31,Nicaragua/Costa Rica border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1,0,
2547,2547001,1985,4,30,Persian gulf,Persian Gulf,27,51,5,1,0,
2548,2548001,1985,3,25,Persian gulf,Persian Gulf,27,51,5,1,0,
2549,2549001,1985,3,25,Persian gulf,Persian Gulf,27,51,5,1,0,
2550,2550001,1985,3,22,S.Korean waters near Huxan,"Huksan, South Korea",34.5,125.3333,2,1,0,
2551,2551001,1985,3,19,Persian Gulf,Persian Gulf,27,51,5,1,0,
2552,2552001,1985,3,15,Persian Gulf,Persian Gulf,27,51,5,1,0,
2553,2553001,1985,2,21,Persian Gulf,Persian Gulf,27,51,5,1,0,
2554,2554001,1985,2,20,Persian Gulf,Persian Gulf,27,51,5,1,0,
2555,2555001,1985,2,20,Persian Gulf,Persian Gulf,27,51,5,1,0,
2557,2557001,1985,9,23,Persian Gulf,Persian Gulf,27,51,5,1,0,
2558,2558001,1985,9,7,Persian Gulf,Persian Gulf,27,51,5,1,0,
2559,2559001,1985,9,29,.,cze-wger border,49.408,13.138,4,1,0,
2560,2560001,1985,10,18,Persian Gulf,Persian Gulf,27,51,5,1,0,
2561,2561001,1985,10,10,Persian Gulf,Persian Gulf,27,51,5,1,0,
2563,2563001,1985,10,1,"Tunis, Tunisia",Tunis,36.80278,10.17972,1,1,0,
2565,2565001,1986,8,26,Persian Gulf,Persian Gulf,27,51,5,1,0,
2566,2566001,1986,8,27,Kurdistan,"Kordestan, Iran",37,44,3,1,0,
2567,2567001,1986,8,16,South Yemen,San'a',16.08333,49.66667,5,1,0,
2568,2568001,1986,7,29,Persian Gulf,Persian Gulf,27,51,5,1,0,
2570,2570001,1986,5,19,Zimbabwe,Harare,-17.83333,31.05,5,1,0,
2571,2571001,1986,5,19,Zambia,Lusaka,-15.41667,28.28333,5,1,0,
2572,2572001,1986,4,26,Fasht al Dibal I,"Fashtal, Iran",37.14083,49.825,2,1,0,
2573,2573001,1986,4,16,Nicaragua/Costa Rica border,"Los Chiles, Costa Rica",11.03333,-84.71667,4,1,0,
2574,2574001,1986,4,6,Persian Gulf,Persian Gulf,27,51,5,1,0,
2575,2575001,1986,3,2,Persian Gulf,Persian Gulf,27,51,5,1,0,
2578,2578001,1986,1,13,Persian Gulf,Persian Gulf,27,51,5,1,0,
2579,2579001,1986,5,28,Waters of Arg and Falkland Islands,Burdwood Bank,-54.25,-59,4,1,0,
2580,2580001,1986,1,6,Botswana,Gaborone,-24.64639,25.91195,5,1,0,
2583,2583001,1985,12,12,B.Faso/Mali border,"Kiri, Mali",13.96667,-3.033333,4,1,0,
2584,2584001,1985,12,17,Persian Gulf,Persian Gulf,27,51,5,1,0,
2585,2585001,1985,11,20,Persian Gulf,Persian Gulf,27,51,5,1,0,
2587,2587001,1986,8,29,.,.,-9999,-9999,7,1,0,
2588,2588001,1986,9,3,Persian Gulf,Persian Gulf,27,51,5,1,0,
2589,2589001,1986,9,15,.,.,-9999,-9999,7,1,0,
2590,2590001,1983,4,30,Iran Afganistan border,"Duruh, Iran",32.285,60.49889,4,1,0,
2591,2591001,1986,2,4,off coast of Cyprus,Limassol,34.675,33.03333,4,1,0,
2593,2593001,1986,11,18,Persian Gulf,Persian Gulf,27,51,5,1,0,
2594,2594001,1986,10,22,Persian Gulf,Persian Gulf,27,51,5,1,0,
2595,2595001,1986,10,2,Persian Gulf,Persian Gulf,27,51,5,1,0,
2596,2596001,1986,9,23,Persian Gulf,Persian Gulf,27,51,5,1,0,
2597,2597001,1986,9,18,Czech German border,mid pt on border,50.25139,12.35111,4,1,0,
2598,2598001,1986,3,20,Gibraltar,Gibraltar,36.13334,-5.35,3,1,0,
2599,2599001,1986,8,19,Swaziland,Mababane,-26.31667,31.13333,5,1,0,
2600,2600001,1985,7,10,Auckland New Zealand,Auckland,-36.86666,174.7667,1,1,0,
2601,2601001,1986,7,20,Istanbul,"Istanbul, Turkey",41.01861,28.96472,1,1,0,
2602,2602001,1978,6,21,"Turkmen Republic, USSR",Turkmenistan,40,60,5,1,0,
2608,2608001,1966,10,30,"Accra, Guinea","Accra, Ghana",5.55,-0.2166667,5,1,0,
2610,2610001,1960,11,21,Zaire,"Kinshasa, DRC",-4.329722,15.315,5,1,0,
2612,2612001,1960,7,31,Zaire,"Kinshasa, DRC",-4.329722,15.315,5,1,0,
2615,2615001,1972,10,11,Burundi,Bujumbura,-3.374444,29.35806,5,1,0,
2616,2616001,1971,1,14,Senegalese-Gambian frontier,"Banjul, Gambia",13.45306,-16.5775,4,1,0,
2617,2617001,1973,7,13,Burundian-Tanzanian border,"Muyinga, Burundi",-2.844445,30.34028,4,1,0,
2619,2619001,1971,4,29,"Near Mokambo,Zaire","Mokambo, DRC",-12.41667,28.35,2,1,0,
2620,2620001,1971,8,21,Zairean-Congolese border,"Kinshasa, DRC",-4.329722,15.315,4,1,0,
2621,2621001,1971,7,7,Ugandan-Rwanda border,"Kabale, Uganda",-1.3258,30.1683,4,1,0,
2622,2622001,1971,4,20,Ugandan-Sudanes border,"Nimule, Uganda",3.6,32.05,4,1,0,
2623,2623001,1963,7,25,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.8333,1,1,0,
2624,2624001,1964,12,26,Koh Kong Island,"Koh Kong, Cambodia",11.33333,103.0833,3,1,0,
2625,2625001,1949,4,14,Kashmir,Kashmir,34.56667,74.75,3,1,0,
2626,2626001,1952,10,4,Kashmir,Kashmir,34.56667,74.75,3,1,0,
2627,2627001,1956,3,18,Punjab,"Punjab, India",31,72,3,1,0,
2628,2628001,1958,11,10,Assam,"Assam, India",26,93,3,1,0,
2629,2629001,1962,1,6,Kashmir,Kashmir,31.34222,74.36528,3,1,0,
2630,2630001,1963,10,16,Kashmir,Kashmir,31.34222,74.36528,3,1,0,
2631,2631001,1965,1,-9,Rann of Kutch,"Rann of Kutch, India",24,70,3,1,0,
2632,2632001,1966,4,-9,Kashmir,"Kashmir, pakistan",31.34222,74.36528,3,1,0,
2633,2633001,1969,3,-9,"Cooch Behar, West Bengal","Cooch Behar, India",26.31667,89.43333,1,1,0,
2634,2634001,1969,8,12,Air space above Northern India,"Dehra Dun, India",30.31667,78.03333,3,1,0,
2635,2635001,1969,12,20,"Malda district, West Bengal","Malda, India",25,88,3,1,0,
2637,2637001,1970,7,15,Kashmir,"Kashmir, pakistan",31.34222,74.36528,3,1,0,
2638,2638001,1972,5,5,Kashmir,Kashmir,31.34222,74.36528,3,1,0,
2639,2639001,1981,7,7,Kashmir,Kashmir,34.30667,71.80278,3,1,0,
2640,2640001,1982,9,8,Kashmir,Kashmir,34.30667,71.80278,3,1,0,
2641,2641001,1983,10,20,Kashmir,Kasmir,34.30667,71.80278,3,1,0,
2642,2642001,1984,6,25,Nobra Valley-Siachen glacier (Kashmir),Siachen Glacier,35.18333,77.2,3,1,0,
2643,2643001,1985,1,17,Siachen glacier,Siachen Glacier,35.18333,77.2,3,1,0,
2644,2644001,1986,10,14,Kashmir,Kashmir,34.30667,71.80278,3,1,0,
2706,2706001,1962,4,22,Xingjiang province,"Xingjiang, China",35.61278,111.2178,3,1,0,
2707,2707001,1964,10,15,china-ussr border,mid pt on border,53.29389,120.8903,4,1,0,
2708,2708001,1965,12,-9,"border, Mongolia",Ulaanbaatar,47.91667,106.9167,4,1,0,
